ticker,epochs_trained,train_r2,train_rmse,train_dir_acc,val_r2,val_rmse,val_dir_acc,test_r2,test_rmse,test_dir_acc,target_date,forecast_return
CBRE,16,0.194136658808306,0.08588718548787197,66.17443470235348,-0.4763532304360709,0.09160796441816638,57.93357933579336,-0.10514246932880678,0.07247024295693635,62.13235294117647,2026-03-11,1.8834591
CAT,19,0.6367242932917823,0.0511813663000831,84.50899031811895,-0.4635549606913012,0.08776125006075729,63.46863468634686,-0.3375244272598177,0.10714221083345071,61.76470588235294,2026-03-11,6.402874
NEE,26,0.8686604880275005,0.024281335670917305,88.7863405629903,-0.37645329099163183,0.08657728471590308,71.21771217712177,-0.26336051103844516,0.06953699639026316,61.76470588235294,2026-03-11,-7.2403374
HCA,16,0.2525181037820776,0.08246770908777805,67.9280110752192,-0.2899393363220093,0.09322829052803101,33.579335793357934,-0.08201005315615872,0.062143265977031556,61.029411764705884,2026-03-11,5.0174594
CRH,29,0.8910601534328377,0.02659078138313627,89.01200369344414,-0.09613153754745452,0.07226145101472363,71.21771217712177,-0.22199017555137202,0.0900738024942301,60.66176470588235,2026-03-11,3.4959674
LOW,16,0.30136231365621446,0.07117829520866757,72.60147601476015,0.32738306415779017,0.05097265679466982,85.97785977859779,0.07880362138026387,0.06864957064391916,60.66176470588235,2026-03-11,1.340878
MCK,16,0.15149452723937706,0.06732294762792879,63.2088520055325,0.06036780898464189,0.07447509984171437,60.147601476014756,-0.3042446653240829,0.05745168232356218,60.66176470588235,2026-03-11,-0.15709996
BRK-B,19,0.5245689856230594,0.03652417953846772,80.91286307053942,-0.3646970107834946,0.044462190275544655,62.73062730627307,-0.40746270019136177,0.04547037284912208,60.66176470588235,2026-03-11,3.3008337
KVUE,16,0.47498028582134133,0.06778776279243119,76.53061224489795,-2.6221098677060133,0.16371311679280157,16.666666666666664,-9.770503217508441,0.09729013590212075,60.526315789473685,2026-03-11,6.9873214
KEYS,23,0.7260070525245377,0.04255151116093022,84.05365126676601,0.0034037132082489485,0.06949507613604138,62.54980079681275,-0.1965277219659256,0.09624667256275568,60.47430830039525,2026-03-11,-8.030957
ACGL,19,0.577150818522156,0.050926322856805296,82.45614035087719,-0.2313810536087728,0.08019218834056048,61.254612546125465,-0.6630111819823796,0.0530259685015744,60.29411764705882,2026-03-11,5.114925
FICO,17,0.37969521101057047,0.07370597873295759,73.44398340248964,-0.09078139754355741,0.08886776958240132,76.38376383763837,-0.9416433352650984,0.15918958549796025,60.29411764705882,2026-03-11,17.309643
GWW,16,0.34759685527630924,0.06529636092955787,73.41947392708815,-0.7605753265856876,0.08164919864814334,50.55350553505535,-0.13669291547607942,0.06309798416818493,60.29411764705882,2026-03-11,1.9348979
ES,41,0.9214617761155591,0.01685326659452219,93.53348729792148,0.4325324790648867,0.04966851206786738,71.58671586715867,-0.027002162748171576,0.06337647893401065,60.147601476014756,2026-03-11,-6.7827463
PHM,27,0.586250210588823,0.06875964697274997,85.96491228070175,-0.16820855970258863,0.09586229503007175,55.71955719557196,-0.46625206017421883,0.09341393367598458,60.147601476014756,2026-03-11,6.616986
CMI,16,0.3106762114196795,0.06011894445092554,69.24850161364684,-0.6566720224690847,0.07372679596582947,61.62361623616236,-0.3150270820603751,0.10124648584144996,59.92647058823529,2026-03-11,1.7253876
KO,16,0.20524111996831407,0.04353491939150379,69.88452655889145,-0.10585091637826172,0.043074416785241036,54.24354243542435,-0.07011759992653999,0.04602655777118626,59.55882352941176,2026-03-11,-1.9861639
HON,16,0.2807595573455156,0.05350518971829803,71.6789667896679,-0.4490820598719538,0.05311282026011605,40.0,-0.02329205999853845,0.06454222055008962,59.55882352941176,2026-03-11,-1.0661185
HUBB,18,0.5325718382804662,0.050730412291702914,78.23881973259567,-0.0510149013132799,0.06636611724496486,68.26568265682657,-0.3944166663405513,0.09031857452884566,59.55882352941176,2026-03-11,7.273221
LKQ,16,0.3100271733400034,0.07704737591140565,69.59334565619224,-0.36025613691020975,0.07652989242836077,49.07063197026022,-0.28690804333765185,0.098717221503798,59.55882352941176,2026-03-11,-0.75754523
DXCM,16,0.27361041770192485,0.12142491748579513,68.32641770401106,0.11921447101782379,0.13770580905244462,57.93357933579336,0.13132760045537428,0.11428368705243831,59.40959409594095,2026-03-11,-4.9105525
KHC,18,0.535773011225873,0.05687120165941569,80.08565310492506,-0.010627698006544284,0.056570748062243575,65.38461538461539,-1.2119388638977986,0.06973258487947451,59.401709401709404,2026-03-11,-0.72428584
VLTO,16,0.37944521106092366,0.04110364898631176,64.76190476190476,-0.61421415591062,0.028985941939900808,53.84615384615385,-0.03561794465742607,0.04555217296870311,59.25925925925925,2026-03-11,2.3319364
LLY,22,0.8214182035051107,0.030118485265813965,87.76546629732225,-0.13193334148660973,0.09668081105925859,61.62361623616236,-0.6695087881941042,0.13074561030250012,59.19117647058824,2026-03-11,9.081209
PWR,17,0.33482741081986,0.07536220676186473,71.77121771217713,0.23794418808345663,0.06667964157863814,69.37269372693727,-0.11869012135312018,0.11104005677052922,59.19117647058824,2026-03-11,5.812633
CMS,17,0.3639180686759832,0.042246388271796775,75.40378403322566,-0.19642214636605626,0.0456864736889749,56.457564575645755,-0.2298139458748567,0.04229687378053481,58.82352941176471,2026-03-11,2.7007222
CVX,16,0.32981065914463203,0.0705388275697121,66.22058144900784,-0.2666383288486849,0.05648863584092208,35.05535055350554,-0.25016032070882277,0.07428888684503612,58.82352941176471,2026-03-11,-0.06956458
FDX,53,0.9551950508669684,0.02050703526405997,92.99216228676809,-0.09421704341341508,0.08659357762787277,61.254612546125465,-1.2953981668229009,0.11858689962146204,58.82352941176471,2026-03-11,-7.130182
