ticker,target_date,forecast_return,test_dir_acc,test_r2
META,2026-03-11,9.334111,46.32352941176471,-0.39350655963712655
MMC,2026-03-11,5.0267696,46.32352941176471,-1.1792744771624957
MA,2026-03-11,2.3622751,45.955882352941174,-0.1262315423124023
CCI,2026-03-11,-9.17719,45.955882352941174,-0.7751193229944016
PG,2026-03-11,4.0674806,45.588235294117645,-0.8573565643958139
PEG,2026-03-11,4.570222,45.588235294117645,-1.524641171536587
EW,2026-03-11,-10.359693,45.588235294117645,-1.6499821327152744
DT,2026-03-11,-3.803265,45.45454545454545,-4.730804891579867
EQT,2026-03-11,-2.808404,45.38745387453875,-0.22809763265576244
PNC,2026-03-11,-0.09524822,45.220588235294116,-0.15774988385117616
HBAN,2026-03-11,0.75502396,45.018450184501845,-0.4702170185378831
CHRW,2026-03-11,0.49359798,44.85294117647059,-0.9473109861245164
TRMB,2026-03-11,0.33507347,44.85294117647059,-0.02181864723729965
DIS,2026-03-11,-1.7961383,44.85294117647059,-0.025327252693214453
XOM,2026-03-11,-2.3070693,44.64944649446495,-0.6675019666926485
AVTR,2026-03-11,-7.1718335,44.20289855072464,-0.11454888277839603
SCHW,2026-03-11,1.5546799,44.11764705882353,-1.382318852235112
FBIN,2026-03-11,8.096207,44.11764705882353,-0.008629608132896927
FFIV,2026-03-11,-2.9293299,44.11764705882353,-0.38246232227198007
MET,2026-03-11,-2.4229467,43.91143911439114,-0.2929249896444721
PTC,2026-03-11,0.03260374,43.91143911439114,-0.259069150712397
HPQ,2026-03-11,17.039131,43.75,-0.7049539870784696
ISRG,2026-03-11,-2.7181685,43.75,-0.4873145059192243
AFL,2026-03-11,-6.7981124,43.38235294117647,-5.7308800876089965
PNR,2026-03-11,-0.3796041,43.38235294117647,-0.2817231082698912
TSCO,2026-03-11,0.51254034,43.01470588235294,-0.9254704724252643
SYK,2026-03-11,7.498634,43.01470588235294,-0.7281074021140999
MU,2026-03-11,-5.5530787,43.01470588235294,-0.6748478132936182
AMT,2026-03-11,-2.022636,43.01470588235294,-1.2348353855778025
TWLO,2026-03-11,5.6875467,42.857142857142854,-0.16208818355963617
KKR,2026-03-11,1.3827443,42.64705882352941,-0.24395171394005644
BKNG,2026-03-11,3.7249327,42.64705882352941,-0.44108242669625874
MRNA,2026-03-11,10.52103,42.281879194630875,-0.12290212287489655
KR,2026-03-11,1.1878967,42.279411764705884,-1.2274921237513081
MMM,2026-03-11,-1.2800515,42.279411764705884,-0.6825345281420212
WSM,2026-03-11,13.95191,42.279411764705884,-1.4233390966888226
PGR,2026-03-11,7.908702,42.279411764705884,-0.9758491806160929
NI,2026-03-11,1.0596156,42.279411764705884,-0.5654799153487069
UBER,2026-03-11,1.6743779,42.028985507246375,-1.0446823196986972
RJF,2026-03-11,1.2486458,41.911764705882355,-0.15225304332073253
COO,2026-03-11,1.606369,41.69741697416974,-0.1350829558381148
CHD,2026-03-11,-1.9171119,41.544117647058826,-0.48703856620389474
NTAP,2026-03-11,-11.624169,41.544117647058826,-0.2113561624264979
CARR,2026-03-11,-7.4880123,41.37931034482759,-0.6991587802095824
OKE,2026-03-11,5.747843,41.17647058823529,-1.1127257772327592
BLK,2026-03-11,5.036545,41.17647058823529,-0.5497911576472363
NOC,2026-03-11,0.077319145,41.17647058823529,-0.3388702290940424
AVGO,2026-03-11,-5.4667234,41.17647058823529,-0.3206678785594941
PANW,2026-03-11,7.242608,41.17647058823529,-0.16523793267228815
PRU,2026-03-11,7.03187,40.44117647058824,-2.0257154040019594
